idENT_MEN,DEP,PONDV1_x,NIVIE10,V2_OLDMTCH_E,V2_OLDMTCH_C,emission_co2,emission_co2_equi
73157701000,31,636.59844706,0.7000000000000001,0.4,0.4,0.7,0.026705296660127095
73157802000,31,1688.8221167,0.6000000000000001,0.4,0.4,0.7,0.02179979845560842
73159302000,31,1577.581826,0.10000000000000009,0.4,0.4,0.0,0.0
73160301000,31,2605.9058895,0.10000000000000009,0.4,0.4,0.7,0.014904196025970056
73160505000,31,2591.8821285,0.9000000000000001,0.4,0.4,0.0,0.0
73160801001,31,2370.1408401,0.40000000000000013,0.4,0.4,0.0,0.0
73161001000,31,2067.7559377,0.20000000000000007,0.4,0.4,0.5,0.012953196261769953
73161705000,31,2165.4914268,0.8,0.4,0.4,0.7,0.016423873586227097
73161905000,31,1266.1107508,0.10000000000000009,0.4,0.4,0.5,0.005318206685064012
73162702000,31,2518.7351262,0.6000000000000001,0.4,0.4,0.7,0.014981310022903482
73163702000,31,2533.5945822,0.40000000000000013,0.4,0.4,0.5,0.007074388024962724
73164101000,31,1239.4995032,0.10000000000000009,0.4,0.4,1.0,0.06681857446251896
73164701000,31,1221.9906877,0.10000000000000009,0.4,0.4,0.0,0.0
73165502000,31,901.12464681,0.10000000000000009,0.4,0.4,0.0,0.0
73166202000,31,2597.5132871,0.40000000000000013,0.4,0.4,1.0,0.05089672394557754
73166502000,31,1206.6236605,0.30000000000000004,0.4,0.4,0.0,0.0
73167001000,31,1772.6890762,0.10000000000000009,0.4,0.4,1.0,0.06650777220713008
73167101000,31,741.23849557,0.20000000000000007,0.4,0.4,0.7,0.023040974045196155
73167301000,31,2620.4016216,0.40000000000000013,0.4,0.4,0.7,0.03405943799850856
73167802000,31,1095.2472031,0.40000000000000013,0.4,0.4,1.0,0.04326376780083942
73167901000,31,2475.8005454,0.6000000000000001,0.4,0.4,0.5,0.01117542925944363
73168401000,31,2525.3873876,0.5000000000000001,0.4,0.4,1.0,0.23877011777872584
73168802000,31,2457.7559489,0.8,0.4,0.4,0.5,0.009007477946061654
73169002000,31,1807.8297001,0.5000000000000001,0.4,0.4,1.0,0.04525449769733382
73169502000,31,892.05142408,0.30000000000000004,0.4,0.4,0.7,0.03432824206286981
73169601000,31,2361.7610544,0.5000000000000001,0.4,0.4,0.5,0.01306284517018848
73169802000,31,2413.9900696,0.7000000000000001,0.4,0.4,0.0,0.0
73169901000,31,1299.0611485,0.10000000000000009,0.4,0.4,0.7,0.03643777131163792
73170002000,31,2208.6277538,0.6000000000000001,0.4,0.4,0.5,0.0021898498114969463
73170102000,31,1999.0491541,0.30000000000000004,0.4,0.4,0.7,0.021975142858371856
73170601000,31,2642.5223248,1.0,0.4,0.4,0.7,0.029999378239071377
73171912000,31,2352.7253098,0.20000000000000007,0.4,0.4,0.7,0.01959055283149536
73172002000,31,2038.2418686,0.7000000000000001,0.4,0.4,0.0,0.0
73172601000,31,1654.7215973,0.40000000000000013,0.4,0.4,0.0,0.0
73172701000,31,872.71242272,0.30000000000000004,0.4,0.4,0.5,0.0019708648303472516
73172901000,31,1124.4374511,0.10000000000000009,0.4,0.4,0.7,0.014502906048013239
73173402000,31,2412.6058317,0.5000000000000001,0.4,0.4,1.0,0.05900738018490935
73173702000,31,1397.2794482,0.20000000000000007,0.4,0.4,0.0,0.0
